Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Primary_Genre,Decade,Movie_Age,Success_Category,Popularity_Score,Genre_Count
Adipurush,2022,131.0,"Action, Drama, History",6.05,55.0,Om Raut,Prabhas,Saif Ali Khan,Kriti Sanon,Action,2020,2,Good,24.353377728947656,3
Animal,2022,131.0,"Action, Drama",6.05,55.0,Sandeep Reddy Vanga,Ranbir Kapoor,Parineeti Chopra,Anil Kapoor,Action,2020,2,Good,24.353377728947656,2
Baba Teerthnath,2022,131.0,"Comedy, Drama",6.05,55.0,Kunjan Verma,Hanan Baba,Prerna Rawat,Dhruv Lau,Comedy,2020,2,Good,24.353377728947656,2
Bachchan Pandey,2022,131.0,Action,6.05,55.0,Farhad Samji,Akshay Kumar,Jacqueline Fernandez,Kriti Sanon,Action,2020,2,Good,24.353377728947656,1
Backwaters,2022,131.0,"Drama, Thriller",6.05,55.0,Abhinav Thakur,Unknown,Unknown,Unknown,Drama,2020,2,Good,24.353377728947656,2
Battle of Saraighat,2022,131.0,History,6.05,55.0,Sudipto Sen,Unknown,Unknown,Unknown,History,2020,2,Good,24.353377728947656,1
Bhediya,2022,131.0,"Comedy, Horror",6.05,55.0,Amar Kaushik,Kriti Sanon,Varun Dhawan,Abhishek Banerjee,Comedy,2020,2,Good,24.353377728947656,2
Chaalbaaz in London,2022,131.0,Comedy,6.05,55.0,Pankaj Parashar,Shraddha Kapoor,Unknown,Unknown,Comedy,2020,2,Good,24.353377728947656,1
Cirkus,2022,112.0,Comedy,6.05,55.0,Rohit Shetty,Jacqueline Fernandez,Pooja Hegde,Ranveer Singh,Comedy,2020,2,Good,24.353377728947656,1
Ek Villain Returns,2022,131.0,"Action, Thriller",6.05,55.0,Mohit Suri,Disha Patani,John Abraham,Arjun Kapoor,Action,2020,2,Good,24.353377728947656,2
Fighter,2022,131.0,"Action, Thriller",6.05,55.0,Siddharth Anand,Deepika Padukone,Hrithik Roshan,Birol Tarkan Yildiz,Action,2020,2,Good,24.353377728947656,2
Ganapath,2022,131.0,Action,6.05,55.0,Vikas Bahl,Kriti Sanon,Tiger Shroff,Unknown,Action,2020,2,Good,24.353377728947656,1
Gandabherunda - A Surfing Entertainer,2022,131.0,Sport,6.05,55.0,Inam,Inam,Sanjana Prakash,Unknown,Sport,2020,2,Good,24.353377728947656,1
Ghubar,2022,131.0,"Crime, Mystery",6.05,55.0,Swaminathan Sridhar,Vijay Kumar,Vivek Pandey,Jitendra Rana,Crime,2020,2,Good,24.353377728947656,2
Goodbye,2022,131.0,"Comedy, Drama",6.05,55.0,Vikas Bahl,Amitabh Bachchan,Rashmika Mandanna,Neena Gupta,Comedy,2020,2,Good,24.353377728947656,2
Guthlee,2022,131.0,Drama,6.05,55.0,Ishrat R. Khan,Sanjay Mishra,Subrat Dutta,Kalyanee Mulay,Drama,2020,2,Good,24.353377728947656,1
Hari Singh Nalwa - Champion of the Khalsa Ji,2022,131.0,Biography,6.05,55.0,Prabhleen Sandhu,Unknown,Unknown,Unknown,Biography,2020,2,Good,24.353377728947656,1
Iftikhar,2022,131.0,Drama,6.05,55.0,Unknown,Unknown,Unknown,Unknown,Drama,2020,2,Good,24.353377728947656,1
Jaar,2022,131.0,Drama,6.05,55.0,Phurba Tshering Lama,Geetanjali Thapa,Saugat Malla,Anoop Bikram Shahi,Drama,2020,2,Good,24.353377728947656,1
Kala Pila,2022,131.0,Drama,6.05,55.0,Limosh Pawar,Unknown,Unknown,Unknown,Drama,2020,2,Good,24.353377728947656,1
Mayday,2022,141.0,"Drama, Thriller",6.05,55.0,Ajay Devgn,Amitabh Bachchan,Rakul Preet Singh,Ajay Devgn,Drama,2020,2,Good,24.353377728947656,2
Middle Class Crime,2022,131.0,Comedy,6.05,55.0,Jyoti Kapur Das,Nikita Dutta,Sunny Singh Nijjar,Unknown,Comedy,2020,2,Good,24.353377728947656,1
Mom's Coming,2022,131.0,"Horror, Musical, Thriller",6.05,55.0,Rishiking,Zoya Afroz,Sahil Mishra,Byom,Horror,2020,2,Good,24.353377728947656,3
